            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2378496.500000000, A.D. 1800-Jan-01 00:00:00.0000,  5.228565477040853E+05, -7.937213509616114E+05, -3.550888708693734E+05,
2378556.500000000, A.D. 1800-Mar-02 00:00:00.0000,  5.991283133534706E+05, -7.812447289060648E+05, -3.519392423833465E+05,
2378616.500000000, A.D. 1800-May-01 00:00:00.0000,  6.738212432979720E+05, -7.635588304019858E+05, -3.465301146311149E+05,
2378676.500000000, A.D. 1800-Jun-30 00:00:00.0000,  7.473112809403576E+05, -7.408676517374113E+05, -3.389802998098854E+05,
2378736.500000000, A.D. 1800-Aug-29 00:00:00.0000,  8.191011902379128E+05, -7.127186053713536E+05, -3.290387307927837E+05,
2378796.500000000, A.D. 1800-Oct-28 00:00:00.0000,  8.883888656100917E+05, -6.795427587617100E+05, -3.168472478686949E+05,
2378856.500000000, A.D. 1800-Dec-27 00:00:00.0000,  9.552286217714512E+05, -6.417660349874420E+05, -3.026227925749424E+05,
2378916.500000000, A.D. 1801-Feb-25 00:00:00.0000,  1.019348685565642E+06, -5.988534965436659E+05, -2.861438541675121E+05,
2378976.500000000, A.D. 1801-Apr-26 00:00:00.0000,  1.079357979793238E+06, -5.508856666632036E+05, -2.673876810147570E+05,
2379036.500000000, A.D. 1801-Jun-25 00:00:00.0000,  1.134507776503862E+06, -4.993070846760122E+05, -2.469542438432791E+05,
2379096.500000000, A.D. 1801-Aug-24 00:00:00.0000,  1.185633686998714E+06, -4.448739675351598E+05, -2.252115820823539E+05,
2379156.500000000, A.D. 1801-Oct-23 00:00:00.0000,  1.233116824879915E+06, -3.869468156865031E+05, -2.018821184056107E+05,
2379216.500000000, A.D. 1801-Dec-22 00:00:00.0000,  1.275827790173331E+06, -3.253796942351381E+05, -1.768403948377180E+05,
2379276.500000000, A.D. 1802-Feb-20 00:00:00.0000,  1.313039149160293E+06, -2.611326705052913E+05, -1.504975303678553E+05,
2379336.500000000, A.D. 1802-Apr-21 00:00:00.0000,  1.345100438751053E+06, -1.947576092195900E+05, -1.231423537952471E+05,
2379396.500000000, A.D. 1802-Jun-20 00:00:00.0000,  1.371811764750331E+06, -1.262929632894297E+05, -9.477219932826648E+04,
2379456.500000000, A.D. 1802-Aug-19 00:00:00.0000,  1.392539517947066E+06, -5.647796467926496E+04, -6.564631346846397E+04,
2379516.500000000, A.D. 1802-Oct-18 00:00:00.0000,  1.407869571516776E+06,  1.378472031142684E+04, -3.618019949250322E+04,
2379576.500000000, A.D. 1802-Dec-17 00:00:00.0000,  1.418556296177218E+06,  8.481744397435611E+04, -6.279522445481025E+03,
2379636.500000000, A.D. 1803-Feb-15 00:00:00.0000,  1.423703089765991E+06,  1.571304510762474E+05,  2.432285359612354E+04,
2379696.500000000, A.D. 1803-Apr-16 00:00:00.0000,  1.422211874405400E+06,  2.296722579502214E+05,  5.521238996311816E+04,
2379756.500000000, A.D. 1803-Jun-15 00:00:00.0000,  1.414728750358151E+06,  3.010473769410994E+05,  8.573186140976778E+04,
2379816.500000000, A.D. 1803-Aug-14 00:00:00.0000,  1.402192428281776E+06,  3.712561826598244E+05,  1.158588113350424E+05,
2379876.500000000, A.D. 1803-Oct-13 00:00:00.0000,  1.384359400188521E+06,  4.405479420195080E+05,  1.457572720033703E+05,
2379936.500000000, A.D. 1803-Dec-12 00:00:00.0000,  1.361041742057350E+06,  5.081938304688248E+05,  1.751187906963190E+05,
2379996.500000000, A.D. 1804-Feb-10 00:00:00.0000,  1.332814338294174E+06,  5.737899233267675E+05,  2.037128648169087E+05,
2380056.500000000, A.D. 1804-Apr-10 00:00:00.0000,  1.299675178716379E+06,  6.376229481692226E+05,  2.316622969174387E+05,
2380116.500000000, A.D. 1804-Jun-09 00:00:00.0000,  1.260973365273272E+06,  6.990688152922267E+05,  2.587436815074341E+05,
2380176.500000000, A.D. 1804-Aug-08 00:00:00.0000,  1.217189131984233E+06,  7.567471074117745E+05,  2.843463770576798E+05,
2380236.500000000, A.D. 1804-Oct-07 00:00:00.0000,  1.169805793138892E+06,  8.105651876884429E+05,  3.083775860019675E+05,
2380296.500000000, A.D. 1804-Dec-06 00:00:00.0000,  1.119122135160922E+06,  8.613954585658497E+05,  3.312260221399104E+05,
2380356.500000000, A.D. 1805-Feb-04 00:00:00.0000,  1.064238719397424E+06,  9.089891313166717E+05,  3.528276732230319E+05,
2380416.500000000, A.D. 1805-Apr-05 00:00:00.0000,  1.005325765571466E+06,  9.522412774811313E+05,  3.726706825961755E+05,
2380476.500000000, A.D. 1805-Jun-04 00:00:00.0000,  9.434580207484564E+05,  9.908956824650816E+05,  3.905902919239263E+05,
2380536.500000000, A.D. 1805-Aug-03 00:00:00.0000,  8.788456128079619E+05,  1.025079860542358E+06,  4.066706000732251E+05,
2380596.500000000, A.D. 1805-Oct-02 00:00:00.0000,  8.115774473059934E+05,  1.054179635831955E+06,  4.206766312432534E+05,
2380656.500000000, A.D. 1805-Dec-01 00:00:00.0000,  7.428768706758473E+05,  1.077879100793677E+06,  4.324128896192291E+05,
2380716.500000000, A.D. 1806-Jan-30 00:00:00.0000,  6.734478425706301E+05,  1.096935378605967E+06,  4.421684619337213E+05,
2380776.500000000, A.D. 1806-Mar-31 00:00:00.0000,  6.025420995693711E+05,  1.111586880798472E+06,  4.500934326816597E+05,
2380836.500000000, A.D. 1806-May-30 00:00:00.0000,  5.301415075945025E+05,  1.120689441034855E+06,  4.556948282307213E+05,
2380896.500000000, A.D. 1806-Jul-29 00:00:00.0000,  4.578428321422719E+05,  1.123636435383833E+06,  4.586370022711527E+05,
2380956.500000000, A.D. 1806-Sep-27 00:00:00.0000,  3.867156061025872E+05,  1.121263750768157E+06,  4.592731816478333E+05,
2381016.500000000, A.D. 1806-Nov-26 00:00:00.0000,  3.165637891385517E+05,  1.114104022068516E+06,  4.578816735745813E+05,
2381076.500000000, A.D. 1807-Jan-25 00:00:00.0000,  2.476276174754497E+05,  1.101732976037637E+06,  4.542487709395047E+05,
2381136.500000000, A.D. 1807-Mar-26 00:00:00.0000,  1.807684022492083E+05,  1.084290789255452E+06,  4.483720080404275E+05,
2381196.500000000, A.D. 1807-May-25 00:00:00.0000,  1.161537108177594E+05,  1.062368860192848E+06,  4.405203460720603E+05,
2381256.500000000, A.D. 1807-Jul-24 00:00:00.0000,  5.372265346952066E+04,  1.035585347621842E+06,  4.305581508947894E+05,
2381316.500000000, A.D. 1807-Sep-22 00:00:00.0000, -5.333564585814078E+03,  1.003465240029400E+06,  4.182353441519173E+05,
2381376.500000000, A.D. 1807-Nov-21 00:00:00.0000, -5.961232929926586E+04,  9.670707471039715E+05,  4.039630376528211E+05,
2381436.500000000, A.D. 1808-Jan-20 00:00:00.0000, -1.093469126252312E+05,  9.277272656938810E+05,  3.883391840791600E+05,
2381496.500000000, A.D. 1808-Mar-20 00:00:00.0000, -1.552935454482927E+05,  8.852448736153196E+05,  3.713041079025256E+05,
2381556.500000000, A.D. 1808-May-19 00:00:00.0000, -1.966967875904215E+05,  8.391919264642807E+05,  3.526167402864301E+05,
2381616.500000000, A.D. 1808-Jul-18 00:00:00.0000, -2.324673184160882E+05,  7.903374087992802E+05,  3.325738070014689E+05,
2381676.500000000, A.D. 1808-Sep-16 00:00:00.0000, -2.627141635454378E+05,  7.395142147567900E+05,  3.115806016180933E+05,
2381736.500000000, A.D. 1808-Nov-15 00:00:00.0000, -2.874017142704455E+05,  6.868255902786892E+05,  2.896915734958187E+05,
2381796.500000000, A.D. 1809-Jan-14 00:00:00.0000, -3.057060910195418E+05,  6.329472183998032E+05,  2.671350934731826E+05,
2381856.500000000, A.D. 1809-Mar-15 00:00:00.0000, -3.178222198565410E+05,  5.791730411645864E+05,  2.444645855304113E+05,
2381916.500000000, A.D. 1809-May-14 00:00:00.0000, -3.248772309676518E+05,  5.257706844518069E+05,  2.218537647122341E+05,
2381976.500000000, A.D. 1809-Jul-13 00:00:00.0000, -3.266685391519408E+05,  4.721455107923941E+05,  1.990289063465336E+05,
2382036.500000000, A.D. 1809-Sep-11 00:00:00.0000, -3.220064567727627E+05,  4.188495448018989E+05,  1.761712279427208E+05,
2382096.500000000, A.D. 1809-Nov-10 00:00:00.0000, -3.109864622688712E+05,  3.674766890103243E+05,  1.540006831093253E+05,
2382156.500000000, A.D. 1810-Jan-09 00:00:00.0000, -2.947675746710654E+05,  3.186792933588679E+05,  1.328527044364632E+05,
2382216.500000000, A.D. 1810-Mar-10 00:00:00.0000, -2.736788455664614E+05,  2.722602054063261E+05,  1.126058532914336E+05,
2382276.500000000, A.D. 1810-May-09 00:00:00.0000, -2.476263921015621E+05,  2.287629927903233E+05,  9.346501498489152E+04,
2382336.500000000, A.D. 1810-Jul-08 00:00:00.0000, -2.173338543146332E+05,  1.888935315800977E+05,  7.578884974853486E+04,
2382396.500000000, A.D. 1810-Sep-06 00:00:00.0000, -1.834208457119570E+05,  1.523480307020276E+05,  5.947949866086705E+04,
2382456.500000000, A.D. 1810-Nov-05 00:00:00.0000, -1.454246144385040E+05,  1.192036723617711E+05,  4.453290026265068E+04,
2382516.500000000, A.D. 1811-Jan-04 00:00:00.0000, -1.034367132692202E+05,  9.081027499780794E+04,  3.152757280671398E+04,
2382576.500000000, A.D. 1811-Mar-05 00:00:00.0000, -5.911137663072341E+04,  6.784135505605406E+04,  2.081389193354984E+04,
2382636.500000000, A.D. 1811-May-04 00:00:00.0000, -1.364047762484723E+04,  4.938929781077264E+04,  1.202048178970814E+04,
2382696.500000000, A.D. 1811-Jul-03 00:00:00.0000,  3.340706965731203E+04,  3.501790109546692E+04,  4.918497117580750E+03,
2382756.500000000, A.D. 1811-Sep-01 00:00:00.0000,  8.213564518247187E+04,  2.546440253311084E+04, -1.644674946811068E+02,
2382816.500000000, A.D. 1811-Oct-31 00:00:00.0000,  1.314562567237394E+05,  2.102438791145101E+04, -3.031921667741827E+03,
2382876.500000000, A.D. 1811-Dec-30 00:00:00.0000,  1.808114967033614E+05,  2.131546896825720E+04, -3.846517064348649E+03,
2382936.500000000, A.D. 1812-Feb-28 00:00:00.0000,  2.301829384653910E+05,  2.657739032245883E+04, -2.548277210679984E+03,
2382996.500000000, A.D. 1812-Apr-28 00:00:00.0000,  2.785088369751972E+05,  3.717260281159078E+04,  1.055899221712245E+03,
2383056.500000000, A.D. 1812-Jun-27 00:00:00.0000,  3.245470400635197E+05,  5.229476705132916E+04,  6.681260951655782E+03,
2383116.500000000, A.D. 1812-Aug-26 00:00:00.0000,  3.686812011497213E+05,  7.094817890236706E+04,  1.386894064341836E+04,
2383176.500000000, A.D. 1812-Oct-25 00:00:00.0000,  4.115485711096242E+05,  9.354916885761989E+04,  2.276804829900411E+04,
2383236.500000000, A.D. 1812-Dec-24 00:00:00.0000,  4.521563243092594E+05,  1.208801908450754E+05,  3.377699720124205E+04,
2383296.500000000, A.D. 1813-Feb-22 00:00:00.0000,  4.891505086487826E+05,  1.523070730343700E+05,  4.666029138999554E+04,
2383356.500000000, A.D. 1813-Apr-23 00:00:00.0000,  5.225196711991503E+05,  1.867746661874887E+05,  6.091371079612829E+04,
2383416.500000000, A.D. 1813-Jun-22 00:00:00.0000,  5.524556715164159E+05,  2.242506791780433E+05,  7.651615568039498E+04,
2383476.500000000, A.D. 1813-Aug-21 00:00:00.0000,  5.783331335032741E+05,  2.646334142648446E+05,  9.348686361199152E+04,
2383536.500000000, A.D. 1813-Oct-20 00:00:00.0000,  6.000023904093252E+05,  3.070009391843781E+05,  1.114346789574505E+05,
2383596.500000000, A.D. 1813-Dec-19 00:00:00.0000,  6.180763720594333E+05,  3.512438876060275E+05,  1.302665672435326E+05,
2383656.500000000, A.D. 1814-Feb-17 00:00:00.0000,  6.321323308744276E+05,  3.980633604252962E+05,  1.502996535924724E+05,
2383716.500000000, A.D. 1814-Apr-18 00:00:00.0000,  6.407821254149739E+05,  4.468813700591337E+05,  1.713376779800960E+05,
2383776.500000000, A.D. 1814-Jun-17 00:00:00.0000,  6.439378060152788E+05,  4.961189856015549E+05,  1.926864400456001E+05,
2383836.500000000, A.D. 1814-Aug-16 00:00:00.0000,  6.427241297300525E+05,  5.454046763471322E+05,  2.141410277157289E+05,
2383896.500000000, A.D. 1814-Oct-15 00:00:00.0000,  6.372730380721453E+05,  5.952711632659547E+05,  2.359553453533287E+05,
2383956.500000000, A.D. 1814-Dec-14 00:00:00.0000,  6.267636518639646E+05,  6.453941649738494E+05,  2.580388146061325E+05,
2384016.500000000, A.D. 1815-Feb-12 00:00:00.0000,  6.112511100649202E+05,  6.949907465506332E+05,  2.800205797626813E+05,
2384076.500000000, A.D. 1815-Apr-13 00:00:00.0000,  5.911266703043449E+05,  7.439715296663295E+05,  3.018183128173738E+05,
2384136.500000000, A.D. 1815-Jun-12 00:00:00.0000,  5.658468716499286E+05,  7.921317157812427E+05,  3.233872212636101E+05,
2384196.500000000, A.D. 1815-Aug-11 00:00:00.0000,  5.352410359588158E+05,  8.383227998389931E+05,  3.442620455200315E+05,
2384256.500000000, A.D. 1815-Oct-10 00:00:00.0000,  5.005775909483125E+05,  8.818984678595681E+05,  3.641053378073699E+05,
2384316.500000000, A.D. 1815-Dec-09 00:00:00.0000,  4.625196033815614E+05,  9.235698698111585E+05,  3.832043426385029E+05,
2384376.500000000, A.D. 1816-Feb-07 00:00:00.0000,  4.200801388176710E+05,  9.636366801330987E+05,  4.017469380127449E+05,
2384436.500000000, A.D. 1816-Apr-07 00:00:00.0000,  3.727839103102176E+05,  1.000899431515948E+06,  4.192128516487988E+05,
2384496.500000000, A.D. 1816-Jun-06 00:00:00.0000,  3.216164178408677E+05,  1.034457002567046E+06,  4.351474508552533E+05,
2384556.500000000, A.D. 1816-Aug-05 00:00:00.0000,  2.672172392781653E+05,  1.064557492792386E+06,  4.496638009798798E+05,
2384616.500000000, A.D. 1816-Oct-04 00:00:00.0000,  2.094220228643755E+05,  1.091046270286612E+06,  4.627440288495861E+05,
2384676.500000000, A.D. 1816-Dec-03 00:00:00.0000,  1.487577302677490E+05,  1.113198179027020E+06,  4.740438981512247E+05,
2384736.500000000, A.D. 1817-Feb-01 00:00:00.0000,  8.606081898471170E+04,  1.131256138228862E+06,  4.836149792948340E+05,
2384796.500000000, A.D. 1817-Apr-02 00:00:00.0000,  2.100811975295029E+04,  1.145681070965864E+06,  4.916787018586286E+05,
2384856.500000000, A.D. 1817-Jun-01 00:00:00.0000, -4.690707795755422E+04,  1.155496067568082E+06,  4.978417353396725E+05,
2384916.500000000, A.D. 1817-Jul-31 00:00:00.0000, -1.165721588972832E+05,  1.159576293107491E+06,  5.015717095337181E+05,
2384976.500000000, A.D. 1817-Sep-29 00:00:00.0000, -1.864556562266769E+05,  1.158389347338610E+06,  5.030286057264055E+05,
2385036.500000000, A.D. 1817-Nov-28 00:00:00.0000, -2.565207742666058E+05,  1.152740814383619E+06,  5.025914166039390E+05,
2385096.500000000, A.D. 1818-Jan-27 00:00:00.0000, -3.272171363149087E+05,  1.142244072663622E+06,  5.001118630829085E+05,
2385156.500000000, A.D. 1818-Mar-28 00:00:00.0000, -3.978342701722598E+05,  1.126382916482043E+06,  4.953071554236255E+05,
2385216.500000000, A.D. 1818-May-27 00:00:00.0000, -4.675901488492834E+05,  1.105427318063526E+06,  4.882600704836009E+05,
2385276.500000000, A.D. 1818-Jul-26 00:00:00.0000, -5.365682036667462E+05,  1.079358827565120E+06,  4.790070151220965E+05,
2385336.500000000, A.D. 1818-Sep-24 00:00:00.0000, -6.041300001545028E+05,  1.047527486591629E+06,  4.672622988342019E+05,
2385396.500000000, A.D. 1818-Nov-23 00:00:00.0000, -6.686856422253352E+05,  1.010242602366537E+06,  4.530855372551962E+05,
2385456.500000000, A.D. 1819-Jan-22 00:00:00.0000, -7.299239653958672E+05,  9.687386761496017E+05,  4.370061952454974E+05,
2385516.500000000, A.D. 1819-Mar-23 00:00:00.0000, -7.887029298589260E+05,  9.231588286070050E+05,  4.191330893009021E+05,
2385576.500000000, A.D. 1819-May-22 00:00:00.0000, -8.445543827669939E+05,  8.725797328083951E+05,  3.990282097589752E+05,
2385636.500000000, A.D. 1819-Jul-21 00:00:00.0000, -8.959466988932822E+05,  8.171271442247243E+05,  3.766814152307593E+05,
2385696.500000000, A.D. 1819-Sep-19 00:00:00.0000, -9.423456736121668E+05,  7.578951889922664E+05,  3.525902512454055E+05,
2385756.500000000, A.D. 1819-Nov-18 00:00:00.0000, -9.838722415511293E+05,  6.952286321081205E+05,  3.269349289671304E+05,
2385816.500000000, A.D. 1820-Jan-17 00:00:00.0000, -1.019892763352805E+06,  6.291819855715164E+05,  2.996844105578202E+05,
2385876.500000000, A.D. 1820-Mar-17 00:00:00.0000, -1.049887883423577E+06,  5.607150715094360E+05,  2.712141395860547E+05,
2385936.500000000, A.D. 1820-May-16 00:00:00.0000, -1.074367132510725E+06,  4.905225125514327E+05,  2.418623427540945E+05,
2385996.500000000, A.D. 1820-Jul-15 00:00:00.0000, -1.093421261539756E+06,  4.180699847994652E+05,  2.114086704647353E+05,
2386056.500000000, A.D. 1820-Sep-13 00:00:00.0000, -1.105742506183561E+06,  3.434342933715687E+05,  1.798301774035672E+05,
2386116.500000000, A.D. 1820-Nov-12 00:00:00.0000, -1.110513375319330E+06,  2.682062868667152E+05,  1.477979061385770E+05,
2386176.500000000, A.D. 1821-Jan-11 00:00:00.0000, -1.108592863412130E+06,  1.935464150818203E+05,  1.158595534605252E+05,
2386236.500000000, A.D. 1821-Mar-12 00:00:00.0000, -1.100659148925288E+06,  1.192864361141539E+05,  8.394375821685999E+04,
2386296.500000000, A.D. 1821-May-11 00:00:00.0000, -1.086145525375345E+06,  4.560638770921260E+04,  5.207396067771744E+04,
2386356.500000000, A.D. 1821-Jul-10 00:00:00.0000, -1.064896277764178E+06, -2.652462594908679E+04,  2.067307518297934E+04,
2386416.500000000, A.D. 1821-Sep-08 00:00:00.0000, -1.037583816658773E+06, -9.668837664188526E+04, -1.001881742175362E+04,
2386476.500000000, A.D. 1821-Nov-07 00:00:00.0000, -1.004020253701396E+06, -1.648151291824401E+05, -3.998544705332550E+04,
2386536.500000000, A.D. 1822-Jan-06 00:00:00.0000, -9.637453093624269E+05, -2.298028871696146E+05, -6.879959721245497E+04,
2386596.500000000, A.D. 1822-Mar-07 00:00:00.0000, -9.178951003327210E+05, -2.903881011922852E+05, -9.587474703043980E+04,
2386656.500000000, A.D. 1822-May-06 00:00:00.0000, -8.679515951482753E+05, -3.468197699018573E+05, -1.212636551425499E+05,
2386716.500000000, A.D. 1822-Jul-05 00:00:00.0000, -8.136585016193161E+05, -3.997438218074703E+05, -1.452851051424577E+05,
2386776.500000000, A.D. 1822-Sep-03 00:00:00.0000, -7.544337839771993E+05, -4.484225785623180E+05, -1.676439448114898E+05,
2386836.500000000, A.D. 1822-Nov-02 00:00:00.0000, -6.911057635711549E+05, -4.917380241576763E+05, -1.877916586325323E+05,
2386896.500000000, A.D. 1823-Jan-01 00:00:00.0000, -6.247467940746817E+05, -5.296908034115258E+05, -2.056975986506827E+05,
2386956.500000000, A.D. 1823-Mar-02 00:00:00.0000, -5.555774209335584E+05, -5.623762057525918E+05, -2.214466924139408E+05,
2387016.500000000, A.D. 1823-May-01 00:00:00.0000, -4.841246802414007E+05, -5.891793446809682E+05, -2.347668139152534E+05,
2387076.500000000, A.D. 1823-Jun-30 00:00:00.0000, -4.116194477097559E+05, -6.101075206900999E+05, -2.455936903806794E+05,
2387136.500000000, A.D. 1823-Aug-29 00:00:00.0000, -3.384178647930183E+05, -6.260548407738520E+05, -2.543051766202997E+05,
2387196.500000000, A.D. 1823-Oct-28 00:00:00.0000, -2.639172636297702E+05, -6.368403165744904E+05, -2.608599270943157E+05,
2387256.500000000, A.D. 1823-Dec-27 00:00:00.0000, -1.886524705904896E+05, -6.412870037170689E+05, -2.647226273410126E+05,
2387316.500000000, A.D. 1824-Feb-25 00:00:00.0000, -1.144211945103003E+05, -6.394488445117514E+05, -2.658547998190766E+05,
2387376.500000000, A.D. 1824-Apr-25 00:00:00.0000, -4.194145240810306E+04, -6.324868358399156E+05, -2.647666092321074E+05,
2387436.500000000, A.D. 1824-Jun-24 00:00:00.0000,  2.921746150386244E+04, -6.206670145852305E+05, -2.616073928929621E+05,
2387496.500000000, A.D. 1824-Aug-23 00:00:00.0000,  9.867878887214373E+04, -6.036586310994948E+05, -2.561952085798829E+05,
